Theme,Subtheme,Keyword,Emotion
Mental Health,Stress,drained energy,"nervousness, anger, annoyance, fear"
Mental Health,Burnout,drained,"sadness, annoyance, neutral"
Mental Health,Burnout,emotionally tired,"sadness, annoyance, neutral"
Mental Health,Burnout,can't focus,"sadness, annoyance, neutral"
Mental Health,Burnout,exhausted from work,"sadness, annoyance, neutral"
Mental Health,Burnout,exhausted from school,"sadness, annoyance, neutral"
Mental Health,Burnout,detached,"sadness, annoyance, neutral"
Mental Health,Burnout,no motivation left,"sadness, annoyance, neutral"
Mental Health,Burnout,running on empty,"sadness, annoyance, neutral"
Mental Health,Burnout,mentally done,"sadness, annoyance, neutral"
Mental Health,Burnout,numb from exhaustion,"sadness, annoyance, neutral"
Mental Health,Burnout,overworked,"sadness, annoyance, neutral"
Mental Health,Burnout,sleep deprived,"sadness, annoyance, neutral"
Mental Health,Burnout,brain fog,"sadness, annoyance, neutral"
Mental Health,Burnout,can't keep up,"sadness, annoyance, neutral"
Mental Health,Burnout,tired of everything,"sadness, annoyance, neutral"
Mental Health,Burnout,emotional exhaustion,"sadness, annoyance, neutral"
Mental Health,Burnout,loss of purpose,"sadness, annoyance, neutral"
Mental Health,Burnout,cynical,"sadness, annoyance, neutral"
Mental Health,Burnout,depleted,"sadness, annoyance, neutral"
Mental Health,Burnout,energy crash,"sadness, annoyance, neutral"
Mental Health,Burnout,constant fatigue,"sadness, annoyance, neutral"
Mental Health,Coping strategies,meditation,"relief, caring, love, pride, neutral"
Mental Health,Coping strategies,journaling,"relief, caring, love, pride, neutral"
Mental Health,Coping strategies,therapy,"relief, caring, love, pride, neutral"
Mental Health,Coping strategies,talking to someone,"relief, caring, love, pride, neutral"
Mental Health,Coping strategies,self-care,"relief, caring, love, pride, neutral"
Mental Health,Coping strategies,mindfulness,"relief, caring, love, pride, neutral"
Mental Health,Coping strategies,breathing exercises,"relief, caring, love, pride, neutral"
Mental Health,Coping strategies,support group,"relief, caring, love, pride, neutral"
Mental Health,Coping strategies,exercise,"relief, caring, love, pride, neutral"
Mental Health,Coping strategies,nature walk,"relief, caring, love, pride, neutral"
Mental Health,Coping strategies,music,"relief, caring, love, pride, neutral"
Mental Health,Coping strategies,grounding techniques,"relief, caring, love, pride, neutral"
Mental Health,Coping strategies,relaxation,"relief, caring, love, pride, neutral"
Mental Health,Coping strategies,healthy routine,"relief, caring, love, pride, neutral"
Mental Health,Coping strategies,gratitude journal,"relief, caring, love, pride, neutral"
Mental Health,Coping strategies,art therapy,"relief, caring, love, pride, neutral"
Mental Health,Coping strategies,prayer,"relief, caring, love, pride, neutral"
Mental Health,Coping strategies,distraction,"relief, caring, love, pride, neutral"
Mental Health,Coping strategies,healthy eating,"relief, caring, love, pride, neutral"
Mental Health,Coping strategies,yoga,"relief, caring, love, pride, neutral"
Mental Health,Coping strategies,setting boundaries,"relief, caring, love, pride, neutral"
Mental Health,Coping strategies,digital detox,"relief, caring, love, pride, neutral"
Mental Health,Coping strategies,time off,"relief, caring, love, pride, neutral"
Mental Health,Coping strategies,emotional regulation,"relief, caring, love, pride, neutral"
Mental Health,Coping strategies,reaching out,"relief, caring, love, pride, neutral"
Mental Health,Coping strategies,deep breathing,"relief, caring, love, pride, neutral"
Mental Health,Coping strategies,therapy,"relief, caring, love, pride, neutral"
Mental Health,Coping strategies,psychiatrist,"relief, caring, love, pride, neutral"
Mental Health,Coping strategies,psychology,"relief, caring, love, pride, neutral"
Mental Health,Coping strategies,CBT,"relief, caring, love, pride, neutral"
Mental Health,Coping strategies,DBT,"relief, caring, love, pride, neutral"
Mental Health,Coping strategies,psychologist,"relief, caring, love, pride, neutral"
Mental Health,Self-harm risk,suicidal,"sadness, disgust, disappointment"
Mental Health,Self-harm risk,hurt myself,"sadness, disgust, disappointment"
Mental Health,Self-harm risk,cutting,"sadness, disgust, disappointment"
Mental Health,Self-harm risk,cuts,"sadness, disgust, disappointment"
Mental Health,Self-harm risk,scars,"sadness, disgust, disappointment"
Mental Health,Self-harm risk,can't go on,"sadness, disgust, disappointment"
Mental Health,Self-harm risk,end it,"sadness, disgust, disappointment"
Mental Health,Self-harm risk,life not worth living,"sadness, disgust, disappointment"
Mental Health,Self-harm risk,want to die,"sadness, disgust, disappointment"
Mental Health,Self-harm risk,hopeless,"sadness, disgust, disappointment"
Mental Health,Self-harm risk,razor,"sadness, disgust, disappointment"
Mental Health,Self-harm risk,overdose,"sadness, disgust, disappointment"
Mental Health,Self-harm risk,harming myself,"sadness, disgust, disappointment"
Mental Health,Self-harm risk,self-inflicted pain,"sadness, disgust, disappointment"
Mental Health,Self-harm risk,emotional pain,"sadness, disgust, disappointment"
Mental Health,Self-harm risk,invisible wounds,"sadness, disgust, disappointment"
Mental Health,Self-harm risk,desperate,"sadness, disgust, disappointment"
Mental Health,Self-harm risk,lost the will to live,"sadness, disgust, disappointment"
Mental Health,Self-harm risk,hurting inside,"sadness, disgust, disappointment"
Mental Health,Self-harm risk,done with everything,"sadness, disgust, disappointment"
Mental Health,Self-harm risk,bruising,"sadness, disgust, disappointment"
Mental Health,Self-harm risk,cover up scars,"sadness, disgust, disappointment"
Mental Health,Suicidal,suicidal,"sadness, disgust, disappointment"
Mental Health,Suicidal,hurt myself,"sadness, disgust, disappointment"
Mental Health,Suicidal,cut wrists,"sadness, disgust, disappointment"
Mental Health,Suicidal,cutting,"sadness, disgust, disappointment"
Mental Health,Suicidal,can't go on,"sadness, disgust, disappointment"
Mental Health,Suicidal,end it,"sadness, disgust, disappointment"
Mental Health,Suicidal,life not worth living,"sadness, disgust, disappointment"
Mental Health,Suicidal,want to die,"sadness, disgust, disappointment"
Mental Health,Suicidal,hopeless,"sadness, disgust, disappointment"
Mental Health,Suicidal,razor,"sadness, disgust, disappointment"
Mental Health,Suicidal,overdose,"sadness, disgust, disappointment"
Mental Health,Suicidal,harming myself,"sadness, disgust, disappointment"
Mental Health,Suicidal,ending everything,"sadness, disgust, disappointment"
Mental Health,Suicidal,tired of life,"sadness, disgust, disappointment"
Mental Health,Suicidal,wish I wasn't here,"sadness, disgust, disappointment"
Mental Health,Suicidal,thinking of ending it,"sadness, disgust, disappointment"
Mental Health,Suicidal,self-inflicted pain,"sadness, disgust, disappointment"
Mental Health,Suicidal,no reason to live,"sadness, disgust, disappointment"
Mental Health,Suicidal,emptyemotional pain,"sadness, disgust, disappointment"
Mental Health,Suicidal,invisible wounds,"sadness, disgust, disappointment"
Mental Health,Suicidal,giving up on life,"sadness, disgust, disappointment"
Mental Health,Suicidal,desperate,"sadness, disgust, disappointment"
Mental Health,Suicidal,lost the will to live,"sadness, disgust, disappointment"
Mental Health,Suicidal,hurting inside,"sadness, disgust, disappointment"
Mental Health,Suicidal,done with everything,"sadness, disgust, disappointment"
Mental Health,Suicidal,burdenbetter off without me,"sadness, disgust, disappointment"
Mental Health,Suicidal,suicide note,"sadness, disgust, disappointment"
Mental Health,Suicidal,letter,"sadness, disgust, disappointment"
Mental Health,Suicidal,note,"sadness, disgust, disappointment"
Mental Health,Suicidal,jump,"sadness, disgust, disappointment"
Mental Health,Suicidal,jump off,"sadness, disgust, disappointment"
Mental Health,Suicidal,lost the will to live,"sadness, disgust, disappointment"
Mental Health,Suicidal,no will to live,"sadness, disgust, disappointment"
Mental Health,Suicidal,trapped,"sadness, disgust, disappointment"
Mental Health,Suicidal,i'm sorry,"sadness, disgust, disappointment"
Mental Health,Suicidal,hopeless,"sadness, disgust, disappointment"
Mental Health,Substance use,alcohol,"sadness, disgust, disappointment, fear, anger, disapproval"
Mental Health,Substance use,drunk,"sadness, disgust, disappointment, fear, anger, disapproval"
Mental Health,Substance use,weed,"sadness, disgust, disappointment, fear, anger, disapproval"
Mental Health,Substance use,smoking,"sadness, disgust, disappointment, fear, anger, disapproval"
Mental Health,Substance use,drugs,"sadness, disgust, disappointment, fear, anger, disapproval"
Mental Health,Substance use,high,"sadness, disgust, disappointment, fear, anger, disapproval"
Mental Health,Substance use,addicted,"sadness, disgust, disappointment, fear, anger, disapproval"
Mental Health,Substance use,sober,"sadness, disgust, disappointment, fear, anger, disapproval"
Mental Health,Substance use,relapse,"sadness, disgust, disappointment, fear, anger, disapproval"
Mental Health,Substance use,overdose,"sadness, disgust, disappointment, fear, anger, disapproval"
Mental Health,Substance use,drinking problem,"sadness, disgust, disappointment, fear, anger, disapproval"
Mental Health,Substance use,intoxicated,"sadness, disgust, disappointment, fear, anger, disapproval"
Mental Health,Substance use,hangover,"sadness, disgust, disappointment, fear, anger, disapproval"
Mental Health,Substance use,withdrawal,"sadness, disgust, disappointment, fear, anger, disapproval"
Mental Health,Substance use,rehab,"sadness, disgust, disappointment, fear, anger, disapproval"
Mental Health,Substance use,temptation,"sadness, disgust, disappointment, fear, anger, disapproval"
Mental Health,Substance use,dependency,"sadness, disgust, disappointment, fear, anger, disapproval"
Mental Health,Substance use,craving,"sadness, disgust, disappointment, fear, anger, disapproval"
Mental Health,Substance use,substance abuse,"sadness, disgust, disappointment, fear, anger, disapproval"
Mental Health,Substance use,getting wasted,"sadness, disgust, disappointment, fear, anger, disapproval"
Mental Health,Substance use,losing control,"sadness, disgust, disappointment, fear, anger, disapproval"
Mental Health,Substance use,numbing the pain,"sadness, disgust, disappointment, fear, anger, disapproval"
Mental Health,Substance use,relapse risk,"sadness, disgust, disappointment, fear, anger, disapproval"
Mental Health,Substance use,clean for a week,"sadness, disgust, disappointment, fear, anger, disapproval"
Mental Health,Substance use,under the influence,"sadness, disgust, disappointment, fear, anger, disapproval"
Mental Health,Substance use,binge drinking,"sadness, disgust, disappointment, fear, anger, disapproval"
Mental Health,Substance use,staying clean,"sadness, disgust, disappointment, fear, anger, disapproval"
Mental Health,Risk-taking,reckless,"fear, anger, curiosity, excitement"
Mental Health,Risk-taking,impulsive,"fear, anger, curiosity, excitement"
Mental Health,Risk-taking,danger,"fear, anger, curiosity, excitement"
Mental Health,Risk-taking,thrill,"fear, anger, curiosity, excitement"
Mental Health,Risk-taking,risk,"fear, anger, curiosity, excitement"
Mental Health,Risk-taking,adrenaline,"fear, anger, curiosity, excitement"
Mental Health,Risk-taking,out of control,"fear, anger, curiosity, excitement"
Mental Health,Risk-taking,sudden urge,"fear, anger, curiosity, excitement"
Mental Health,Risk-taking,taking chances,"fear, anger, curiosity, excitement"
Mental Health,Risk-taking,no fear,"fear, anger, curiosity, excitement"
Mental Health,Risk-taking,living on edge,"fear, anger, curiosity, excitement"
Mental Health,Risk-taking,risky behavior,"fear, anger, curiosity, excitement"
Mental Health,Risk-taking,daredevil,"fear, anger, curiosity, excitement"
Mental Health,Risk-taking,acting without thinking,"fear, anger, curiosity, excitement"
Mental Health,Risk-taking,doing something crazy,"fear, anger, curiosity, excitement"
Mental Health,Risk-taking,breaking rules,"fear, anger, curiosity, excitement"
Mental Health,Risk-taking,chasing excitement,"fear, anger, curiosity, excitement"
Mental Health,Risk-taking,spontaneous,"fear, anger, curiosity, excitement"
Mental Health,Risk-taking,testing limits,"fear, anger, curiosity, excitement"
Mental Health,Risk-taking,high-risk,"fear, anger, curiosity, excitement"
Mental Health,Risk-taking,impulsive decisions,"fear, anger, curiosity, excitement"
Mental Health,Risk-taking,thrill-seeking,"fear, anger, curiosity, excitement"
Mental Health,Risk-taking,not thinking straight,"fear, anger, curiosity, excitement"
Mental Health,Risk-taking,adrenaline rush,"fear, anger, curiosity, excitement"
Grief & Loss,Grief,loss,"sadness, grief, remorse, love"
Grief & Loss,Grief,gone,"sadness, grief, remorse, love"
Grief & Loss,Grief,died,"sadness, grief, remorse, love"
Grief & Loss,Grief,pass away,"sadness, grief, remorse, love"
Grief & Loss,Grief,funeral,"sadness, grief, remorse, love"
Grief & Loss,Grief,grief,"sadness, grief, remorse, love"
Grief & Loss,Grief,heartbreak,"sadness, grief, remorse, love"
Grief & Loss,Grief,mourning,"sadness, grief, remorse, love"
Grief & Loss,Grief,deep sorrow,"sadness, grief, remorse, love"
Grief & Loss,Grief,devastated,"sadness, grief, remorse, love"
Grief & Loss,Grief,shattered,"sadness, grief, remorse, love"
Grief & Loss,Grief,broken heart,"sadness, grief, remorse, love"
Grief & Loss,Grief,emptiness,"sadness, grief, remorse, love"
Grief & Loss,Grief,heavy heart,"sadness, grief, remorse, love"
Grief & Loss,Grief,crying,"sadness, grief, remorse, love"
Grief & Loss,Grief,inconsolable,"sadness, grief, remorse, love"
Grief & Loss,Grief,sadness,"sadness, grief, remorse, love"
Grief & Loss,Grief,numb,"sadness, grief, remorse, love"
Grief & Loss,Grief,sorrowful,"sadness, grief, remorse, love"
Grief & Loss,Grief,bereft,"sadness, grief, remorse, love"
Grief & Loss,Grief,tragedy,"sadness, grief, remorse, love"
Grief & Loss,Grief,pain,"sadness, grief, remorse, love"
Grief & Loss,Grief,anguish,"sadness, grief, remorse, love"
Grief & Loss,Grief,heartache,"sadness, grief, remorse, love"
Grief & Loss,Grief,feeling lost,"sadness, grief, remorse, love"
Grief & Loss,Grief,emotional pain,"sadness, grief, remorse, love"
Grief & Loss,Grief,mourning a loved one,"sadness, grief, remorse, love"
Grief & Loss,Grief,life feels empty,"sadness, grief, remorse, love"
Grief & Loss,Grief,unbearable sadness,"sadness, grief, remorse, love"
Grief & Loss,Mourning,remembrance,"grief, sadness"
Grief & Loss,Mourning,crying,"grief, sadness"
Grief & Loss,Mourning,bereavement,"grief, sadness"
Grief & Loss,Mourning,condolences,"grief, sadness"
Grief & Loss,Mourning,miss you,"grief, sadness"
Grief & Loss,Mourning,tribute,"grief, sadness"
Grief & Loss,Mourning,memorial,"grief, sadness"
Grief & Loss,Mourning,vigil,"grief, sadness"
Grief & Loss,Mourning,paying respects,"grief, sadness"
Grief & Loss,Mourning,honoring,"grief, sadness"
Grief & Loss,Mourning,reflection,"grief, sadness"
Grief & Loss,Mourning,sorrow,"grief, sadness"
Grief & Loss,Mourning,lamenting,"grief, sadness"
Grief & Loss,Mourning,grieving together,"grief, sadness"
Grief & Loss,Mourning,sympathy,"grief, sadness"
Grief & Loss,Mourning,shared loss,"grief, sadness"
Grief & Loss,Mourning,flowers for the deceased,"grief, sadness"
Grief & Loss,Mourning,sending thoughts,"grief, sadness"
Grief & Loss,Mourning,comforted in sorrow,"grief, sadness"
Grief & Loss,Mourning,attending funeral,"grief, sadness"
Grief & Loss,Mourning,loss ritual,"grief, sadness"
Grief & Loss,Mourning,keeping memory alive,"grief, sadness"
Grief & Loss,Mourning,deceased,"grief, sadness"
Grief & Loss,Nostalgia,childhood,"sadness, confusion, neutral"
Grief & Loss,Nostalgia,memories,"sadness, confusion, neutral"
Grief & Loss,Nostalgia,old days,"sadness, confusion, neutral"
Grief & Loss,Nostalgia,past,"sadness, confusion, neutral"
Grief & Loss,Nostalgia,remember when,"sadness, confusion, neutral"
Grief & Loss,Nostalgia,flashback,"sadness, confusion, neutral"
Grief & Loss,Nostalgia,days gone by,"sadness, confusion, neutral"
Grief & Loss,Nostalgia,reminisce,"sadness, confusion, neutral"
Grief & Loss,Nostalgia,sentimental,"sadness, confusion, neutral"
Grief & Loss,Nostalgia,good old times,"sadness, confusion, neutral"
Grief & Loss,Nostalgia,longing for the past,"sadness, confusion, neutral"
Grief & Loss,Nostalgia,family moments,"sadness, confusion, neutral"
Grief & Loss,Nostalgia,old friends,"sadness, confusion, neutral"
Grief & Loss,Nostalgia,youth,"sadness, confusion, neutral"
Grief & Loss,Nostalgia,simpler times,"sadness, confusion, neutral"
Grief & Loss,Nostalgia,cherished memories,"sadness, confusion, neutral"
Grief & Loss,Nostalgia,photo albums,"sadness, confusion, neutral"
Grief & Loss,Nostalgia,storytelling,"sadness, confusion, neutral"
Grief & Loss,Nostalgia,sentimental journey,"sadness, confusion, neutral"
Grief & Loss,Nostalgia,bittersweet feelings,"sadness, confusion, neutral"
Grief & Loss,Nostalgia,recalling laughter,"sadness, confusion, neutral"
Grief & Loss,Nostalgia,warm memories,"sadness, confusion, neutral"
Grief & Loss,Nostalgia,recalling traditions,"sadness, confusion, neutral"
Grief & Loss,Missing someone,miss you,"sadness, grief, love"
Grief & Loss,Missing someone,wish you were here,"sadness, grief, love"
Grief & Loss,Missing someone,absence,"sadness, grief, love"
Grief & Loss,Missing someone,long for,"sadness, grief, love"
Grief & Loss,Missing someone,lonely without you,"sadness, grief, love"
Grief & Loss,Missing someone,you're in my heart,"sadness, grief, love"
Grief & Loss,Missing someone,still in our hearts,"sadness, grief, love"
Grief & Loss,Missing someone,still in my heart,"sadness, grief, love"
Grief & Loss,Missing someone,thinking of you,"sadness, grief, love"
Grief & Loss,Missing someone,counting the days,"sadness, grief, love"
Grief & Loss,Missing someone,feeling empty,"sadness, grief, love"
Grief & Loss,Missing someone,longing,"sadness, grief, love"
Grief & Loss,Missing someone,can't stop thinking about you,"sadness, grief, love"
Grief & Loss,Missing someone,separation pain,"sadness, grief, love"
Grief & Loss,Missing someone,wish you were near,"sadness, grief, love"
Grief & Loss,Missing someone,craving your presence,"sadness, grief, love"
Grief & Loss,Missing someone,distance hurts,"sadness, grief, love"
Grief & Loss,Missing someone,wishing you were back,"sadness, grief, love"
Grief & Loss,Missing someone,left behind,"sadness, grief, love"
Grief & Loss,Missing someone,yearning,"sadness, grief, love"
Grief & Loss,Missing someone,thinking of old times,"sadness, grief, love"
Grief & Loss,Missing someone,lonely,"sadness, grief, love"
Grief & Loss,Loneliness,lonely,"sadness, grief"
Grief & Loss,Loneliness,alone,"sadness, grief"
Grief & Loss,Loneliness,isolated,"sadness, grief"
Grief & Loss,Loneliness,nobody,"sadness, grief"
Grief & Loss,Loneliness,empty room,"sadness, grief"
Grief & Loss,Loneliness,no one to talk to,"sadness, grief"
Grief & Loss,Loneliness,solitude,"sadness, grief"
Grief & Loss,Loneliness,abandoned,"sadness, grief"
Grief & Loss,Loneliness,friendless,"sadness, grief"
Grief & Loss,Loneliness,quiet,"sadness, grief"
Grief & Loss,Loneliness,left out,"sadness, grief"
Grief & Loss,Loneliness,disconnected,"sadness, grief"
Grief & Loss,Loneliness,feeling invisible,"sadness, grief"
Grief & Loss,Loneliness,longing for company,"sadness, grief"
Grief & Loss,Loneliness,solitude weighs,"sadness, grief"
Grief & Loss,Loneliness,solitary,"sadness, grief"
Grief & Loss,Loneliness,empty heart,"sadness, grief"
Grief & Loss,Loneliness,hollow,"sadness, grief"
Grief & Loss,Loneliness,confinement,"sadness, grief"
Grief & Loss,Loneliness,craving connection,"sadness, grief"
Grief & Loss,Loneliness,feeling left behind,"sadness, grief"
Grief & Loss,Loneliness,yearning for companionship,"sadness, grief"
Grief & Loss,Loneliness,solitude pain,"sadness, grief"
Grief & Loss,Loneliness,isolation,"sadness, grief"
Grief & Loss,Regret,should have,"remorse, sadness, grief, disappointment, embarrassment, disgust"
Grief & Loss,Regret,if only,"remorse, sadness, grief, disappointment, embarrassment, disgust"
Grief & Loss,Regret,sorry for,"remorse, sadness, grief, disappointment, embarrassment, disgust"
Grief & Loss,Regret,wish I hadn't,"remorse, sadness, grief, disappointment, embarrassment, disgust"
Grief & Loss,Regret,remorse,"remorse, sadness, grief, disappointment, embarrassment, disgust"
Grief & Loss,Regret,guilt,"remorse, sadness, grief, disappointment, embarrassment, disgust"
Grief & Loss,Regret,hindsight,"remorse, sadness, grief, disappointment, embarrassment, disgust"
Grief & Loss,Regret,missed opportunity,"remorse, sadness, grief, disappointment, embarrassment, disgust"
Grief & Loss,Regret,could've done better,"remorse, sadness, grief, disappointment, embarrassment, disgust"
Grief & Loss,Regret,self-blame,"remorse, sadness, grief, disappointment, embarrassment, disgust"
